paraquestion,SQL,Header
Tell me what the notes are for South Australia.,select Notes where Current slogan eq SOUTH AUSTRALIA ,"['State/territory', 'Text/background colour', 'Format', 'Current slogan', 'Current series', 'Notes']"
Tell me what the notes for South Australia are.,select Notes where Current slogan eq SOUTH AUSTRALIA ,"['State/territory', 'Text/background colour', 'Format', 'Current slogan', 'Current series', 'Notes']"
Tell me what notes are for South Australia.,select Notes where Current slogan eq SOUTH AUSTRALIA ,"['State/territory', 'Text/background colour', 'Format', 'Current slogan', 'Current series', 'Notes']"
What is the current series where the new series started in June 2011?,select Current series where Notes eq New series began in June 2011 ,"['State/territory', 'Text/background colour', 'Format', 'Current slogan', 'Current series', 'Notes']"
What is the format of South Australia?,select Format where State/territory eq South Australia ,"['State/territory', 'Text/background colour', 'Format', 'Current slogan', 'Current series', 'Notes']"
Name the background colour for the Australian capital Territory,select Text/background colour where State/territory eq Australian Capital Territory ,"['State/territory', 'Text/background colour', 'Format', 'Current slogan', 'Current series', 'Notes']"
Name the background colour for the Australian capital territory,select Text/background colour where State/territory eq Australian Capital Territory ,"['State/territory', 'Text/background colour', 'Format', 'Current slogan', 'Current series', 'Notes']"
How many times is the fuel propulsion cng?,select COUNT(Fleet Series (Quantity)) where Fuel Propulsion eq CNG ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
How many times is fuel propulsion cng?,select COUNT(Fleet Series (Quantity)) where Fuel Propulsion eq CNG ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
What is the fuel propulsion where the fleet series (quantity) is 310-329 (20)?,select Fuel Propulsion where Fleet Series (Quantity) eq 310-329 (20) ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
What is the fuel propulsion when the fleet series (quantity) is 310-329 (20)?,select Fuel Propulsion where Fleet Series (Quantity) eq 310-329 (20) ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
Who is the manufacturer for the order year 1998?,select Manufacturer where Order Year eq 1998 ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
Who is the manufacturer for the 1998 order year?,select Manufacturer where Order Year eq 1998 ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
